Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,22,CLE,SF,78,78,3190,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1
Kobe Bryant,28,LAL,SG,77,77,3140,26.1,0.58,0.227,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13.0,0.199,6.4,-0.5,5.9,6.1
Vince Carter,30,NJN,SG,82,82,3126,21.8,0.559,0.273,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6
Elton Brand,27,LAC,PF,80,80,3077,23.1,0.581,0.001,0.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,7.2,4.3,11.5,0.18,3.4,0.8,4.2,4.8
Luol Deng,21,CHI,SF,82,82,3071,18.7,0.56,0.006,0.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,5.7,5.6,11.3,0.176,1.7,1.3,3.0,3.9
Andre Iguodala,23,PHI,SG,76,76,3062,18.1,0.562,0.156,0.556,3.0,14.0,8.5,23.8,2.6,0.8,17.5,22.6,4.1,3.6,7.7,0.12,1.3,1.1,2.4,3.4
Rafer Alston,30,HOU,PG,82,82,3040,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.104,-0.7,1.3,0.6,2.0
Dwight Howard,21,ORL,C,82,82,3023,21.1,0.619,0.002,0.763,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,3.9,5.8,9.7,0.154,1.7,1.1,2.8,3.7
Ricky Davis,27,MIN,SF,81,81,3021,15.9,0.566,0.285,0.262,2.2,10.1,6.2,21.9,1.4,0.6,14.7,21.9,3.9,1.9,5.7,0.091,1.2,-0.7,0.5,1.8
Shawn Marion,28,PHO,SF,80,80,3010,20.8,0.594,0.235,0.232,7.0,22.6,15.2,6.7,2.6,2.8,8.8,19.3,6.7,5.3,12.0,0.191,2.4,1.9,4.4,4.8
Tayshaun Prince,26,DET,SF,82,82,3001,16.0,0.534,0.211,0.225,5.7,11.3,8.5,12.9,0.9,1.4,8.2,18.9,5.1,2.9,8.0,0.128,2.1,-0.4,1.8,2.9
